iter	Passed	Remaining
0	1	179
1	3	161
2	4	151
3	5	140
4	7	138
5	8	135
6	10	135
7	11	133
8	13	131
9	14	129
10	15	129
11	17	127
12	18	126
13	20	124
14	21	122
15	23	121
16	25	122
17	26	120
18	27	119
19	29	117
20	30	115
21	32	113
22	33	112
23	34	110
24	36	108
25	37	107
26	39	106
27	40	104
28	42	103
29	43	101
30	44	100
31	46	98
32	47	96
33	49	95
34	50	93
35	51	92
36	53	90
37	54	89
38	56	87
39	57	86
40	58	84
41	59	82
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	68	73
48	69	72
49	70	70
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	62
56	80	60
57	81	59
58	83	57
59	84	56
60	86	55
61	87	53
62	89	52
63	90	50
64	91	49
65	93	48
66	94	46
67	96	45
68	97	43
69	99	42
70	100	41
71	101	39
72	103	38
73	104	36
74	106	35
75	107	33
76	108	32
77	110	31
78	111	29
79	113	28
80	114	26
81	116	25
82	117	24
83	118	22
84	120	21
85	121	19
86	123	18
87	124	16
88	125	15
89	127	14
90	129	12
91	130	11
92	132	9
93	133	8
94	135	7
95	136	5
96	137	4
97	139	2
98	140	1
99	141	0
